artist_id,monthly_listeners
7tr9pbgNEKtG0GQTKe08Tz,1848622
4dwdTW1Lfiq0cM8nBAqIIz,9209712
3oKRxpszQKUjjaHz388fVA,6134639
1GDjwZ2zwNZizuNJPmH3mE,79050
5p9HO3XC5P3BLxJs5Mtrhm,36278724
0gvHPdYxlU94W7V5MSIlFe,437508
7ptm7G8z8VVvwBnDq8fAmD,346337
2n2RSaZqBuUUukhbLlpnE6,5982113
75U40yZLLPglFgXbDVnmVs,371744
3bO19AOone0ubCsfDXDtYt,17792277
7FKTg75ADVMZgY3P9ZMRtH,1790059
5FjQVp1Lb0kltmwIuu5kfj,2255414
7cKtqv9cYVlOwnuCFH95ce,1042358
3rIZMv9rysU7JkLzEaC5Jp,12342581
12VaqyEhgwDRuFfEqbnrpz,1459981
2wJ4vsxWd7df7dRU4KcoDe,1652116
4j7EVY3kuDwLPfD2jfC7LC,514351
0s4kXsjYeH0S1xRyVGN4NO,2137558
33NVpKoXjItPwUJTMZIOiY,12540869
6fxyWrfmjcbj5d12gXeiNV,7412527
1lKZzN2d4IqiEYxyECIEHI,1085225
71t8oi0TjZ9Op6JRrVqaBx,148126
5GGJosGMs08YEmKTZJe1fL,9019038
3gBZUcNeVumkeeJ19CY2sX,7456373
5b5bt4mZQpJMoCRbiQ7diH,9104969
58etTNn7xmsQZhjnfjpAXL,301362
5wugb0kaq0J6nyQ5Xgd17i,1492380
37M5pPGs6V1fchFJSgCguX,7227974
6ws5XBA70XgeBpnLZhQBoy,1483917
5XKFrudbV4IiuE5WuTPRmT,18483133
1nVq0hKIVReeaiB3xJgKf0,2665426
5IWCU0V9evBlW4gIeGY4zF,765203
7KMqksf0UMdyA0UCf4R3ux,11956118
4UXJsSlnKd7ltsrHebV79Q,4342623
6lyMYewq2SuTFIXgiv7OxH,1395075
4qrHkx5cgWIslciLXUMrYw,1288774
3l0CmX0FuQjFxr8SK7Vqag,17004768
1ybAN3utgdoUL1MUCtH4QM,588852
6w6z8m4WXX7Tub4Rb6Lu7R,1908574
5szilpXHcwOqnyKLqGco5j,7505039
7EGwUS3c5dXduO4sMyLWC5,1355245
7pwufEBGfggjoI8twqlsmQ,6147986
5BIOo2mCAokFcLHXO2Llb4,960311
4ghjRm4M2vChDfTUycx0Ce,2067067
0CDUUM6KNRvgBFYIbWxJwV,340047
3Fe3pszR2t4TOBVz41B1WR,2856221
3n5jeTRWZEbTPJWyHSYUqn,512042
0cmSXx965Hnm6fP42oW6vY,307486
4FZ3j1oH43e7cukCALsCwf,1268822
3NqV2DJoAWsjl787bWaHW7,1776500
0rFHElzeddB9ymDjgpBENX,1946461
4I2BJf80C0skQpp1sQmA0h,1152827
7ITd48RbLVpUfheE7B86o2,758152
64mPnRMMeudAet0E62ypkx,1276982
0FeWKiZSwBRdGzqeCdlH1a,3161631
3kbBWco9PZ5eSQsNScwG6U,453256
6xt9sJmmyYwWkJv8A6ssiU,754143
7N3JfLDzzjXdPbsyco7X0l,118273
7gP3bB2nilZXLfPHJhMdvc,14999179
1YRc6fheTv1ocTyaZMzwEp,13005
33bzrYoIWLx5uox3y0VtHn,306686
43O3c6wewpzPKwVaGEEtBM,951943
3Felk6Y6jjU00yE1XTOqKZ,108775
7DjwIxbe8kpw4pqnzAMoin,454154
2933wDUojoQmvqSdTAE5NB,336843
6VDdCwrBM4qQaGxoAyxyJC,2174449
1yAwtBaoHLEDWAnWR87hBT,3396573
6d4jrmreCmsenscuieJERc,1611027
4Cedjq5BQL3MhapRvDpFED,372456
4rjlerN21ygkIhmUv55irs,842157
7MoIc5s9KXolCBH1fy9kkw,1771787
3iCJOi5YKh247eutgCyLFe,604878
2TM0qnbJH4QPhGMCdPt7fH,4961669
43JlwunhXm1oqdKyOa2Z9Y,1330281
3GzWhE2xadJiW8MqRKIVSK,1224688
2nTjd2lNo1GVEfXM3bCnsh,3137499
3PP6ghmOlDl2jaKaH0avUN,815927
69tiO1fG8VWduDl3ji2qhI,4947839
5sdxGvwxI1TkTA6Pu2jnTb,411606
1WrqUPWlHN5FXCRcQgrkas,1105568
2rDxtYUzTAYJJE3Bl3Z5IN,341630
3SXwqSqAoBz9WCI9PDQzY6,6048262
59oA5WbbQvomJz2BuRG071,8476618
6S0GHTqz5sxK5f9HtLXn9q,2385569
0NB5HROxc8dDBXpkIi1v3d,3337685
0wNZvrIMNUCs24G0wFg2D6,180718
3QaxveoTiMetZCMp1sftiu,962632
26T3LtbuGT1Fu9m0eRq5X3,12949154
5y2Xq6xcjJb2jVM54GHK3t,37823550
0o0rlxlC3ApLWsxFkUjMXc,1744883
67lytN32YpUxiSeWlKfHJ3,3688149
4UAW69682T7N0wrABUhqx0,647880
2HPaUgqeutzr3jx5a9WyDV,30041017
0knGpCTbmG4ctl1wzYRZs4,5626297
2Tz1DTzVJ5Gyh8ZwVr6ekU,1530787
1OKOTYGoCE2buxTYMegJp7,301958
6TVVIyd0fsRDGg6WzHKyTP,3413519
5Zmur9D9gpr6tXyDrpnbOe,269153
3lFDsTyYNPQc8WzJExnQWn,510768
6eU0jV2eEZ8XTM7EmlguK6,4679625
4tK6Z8fK7Sc9133byjPGIT,748723
0rpMdBzQXf7aYRnu5fDBJy,1845709
1Jl8u1U1GtBlwocZK5LWZv,582274
2e5y5Gs5lgnDmiY4TKLsq3,160640
2Jv5eshHtLycR6R8KQCdc4,1521982
6mdiAmATAx73kdxrNrnlao,8277805
1YSA4byX5AL1zoTsSTlB03,2202854
4kI8Ie27vjvonwaB2ePh8T,12601252
3hyGGjxu73JuzBa757H6R5,638335
0n94vC3S9c3mb2HyNAOcjg,3713886
2yJwXpWAQOOl5XFzbCxLs9,1689007
19I4tYiChJoxEO5EuviXpz,2372177
7If8DXZN7mlGdQkLE2FaMo,471741
5o206eFLx38glA2bb4zqIU,1379850
267VY6GX5LyU5c9M85ECZQ,616766
3Lg3FGwBxOGuefqekQzRUf,715853
6Wr3hh341P84m3EI8qdn9O,6901072
